date,open,high,low,close,volume,daily_return,log_return,MA20,MA50,MA200,volatility
2018-01-01,2982.616455078125,2982.616455078125,2982.616455078125,2982.616455078125,0,,,,,,
2018-01-02,2962.4638671875,2996.051892892574,2942.311051764456,2975.89907746953,66075600,-0.002252176137886641,-0.0022547161009106916,,,,
2018-01-03,2841.546875,2942.3109485815603,2821.394060283688,2942.3109485815603,129205000,-0.01128671638842349,-0.011350894737346759,,,,
2018-01-04,2834.829345703125,2854.982160956939,2814.6765304493115,2841.5469507877297,77953300,-0.03424654958457307,-0.034846704658875384,,,,
2018-01-05,2875.134765625,2875.134765625,2821.393928884346,2834.8291380695096,55863000,-0.0023641392644797588,-0.0023669382540483204,,,,
2018-01-08,2861.69970703125,2881.8525218694986,2854.9821020851673,2854.9821020851673,42916700,0.007109057736503166,0.007083907511472666,,,,
2018-01-09,2821.394287109375,2848.264708891369,2807.959076218378,2848.264708891369,100497400,-0.0023528670070793734,-0.0023556393481428063,,,,
2018-01-10,2814.676513671875,2854.9821439392526,2807.958908627312,2821.394118716438,95004000,-0.009434021385389513,-0.009478803638843538,,,,
2018-01-11,2801.24169921875,2821.394517198741,2787.8064872320892,2821.394517198741,80524900,1.412359587060763e-07,1.4123594873227923e-07,,,,
2018-01-12,2774.37109375,2814.6767270732444,2774.37109375,2794.523910411622,70976800,-0.009523874319355308,-0.009569516434732724,,,,
2018-01-15,2767.653076171875,2801.2410989409514,2754.2178670642447,2794.523494387136,71388000,-1.4887132815388782e-07,-1.488713392352251e-07,,,,
2018-01-16,2828.111572265625,2834.8291769503417,2767.6531301031773,2787.8059441573264,84393300,-0.0024038267143940972,-0.002406720544271065,,,,
2018-01-17,2821.394287109375,2834.829498000372,2807.959076218378,2828.1118925548735,77197700,0.014457946214663897,0.014354426703661308,,,,
2018-01-18,2801.24169921875,2848.264941172062,2794.5240932254196,2828.112123192071,100089500,8.155165232004435e-08,8.155164899470853e-08,,,,
2018-01-19,2794.523681640625,2814.676496652456,2767.6532616248496,2814.676496652456,70890100,-0.004750740407155507,-0.004762061042861856,,,,
2018-01-22,2774.37109375,2794.523910411622,2767.653488196126,2767.653488196126,83090400,-0.016706363417698378,-0.016847488708574936,,,,
