date,forecast
2026-05-26,3001.0286
2026-05-27,3008.591
2026-05-28,3013.163
2026-05-29,3017.2478
2026-05-30,3021.1382
2026-05-31,3024.966
2026-06-01,3028.7168
2026-06-02,3032.1597
2026-06-03,3035.4087
2026-06-04,3038.5837
2026-06-05,3041.3467
2026-06-06,3043.9756
2026-06-07,3046.4043
2026-06-08,3048.8828
2026-06-09,3051.4456
2026-06-10,3053.9297
2026-06-11,3056.5786
2026-06-12,3059.1538
2026-06-13,3061.868
2026-06-14,3064.511
2026-06-15,3067.2952
2026-06-16,3070.0903
2026-06-17,3072.7341
2026-06-18,3075.3906
2026-06-19,3078.0376
2026-06-20,3080.5427
2026-06-21,3083.496
2026-06-22,3086.5732
2026-06-23,3089.5488
2026-06-24,3092.2346
